"=""Протокол действий пользователя""";

"=""Выберите организацию""";"=""Эксплуатация ФСМЭВ""";
"=""Выберите пользователя""";"=""Бородин Дмитрий Юрьевич,Бородин Дмитрий Юрьевич,Бородин Дмитрий Юрьевич,Бородин Дмитрий Юрьевич,Бородин Дмитрий Юрьевич,Бородин Дмитрий Юрьевич,Бородин Дмитрий Юрьевич""";
"=""Выберите период формирования отчета с""";"=""01.05.2013 00:00:00""";
"=""по""";"=""01.06.2013 00:00:00""";
"=""Время генерации отчета""";"=""03.06.2013 13:44:26""";

"=""Тип объекта """;"=""Идентификатор объекта""";"=""Наименование объекта""";"=""Изменяемый атрибут объекта""";"=""Действие""";"=""Старое значение атрибута""";"=""Новое значение атрибута""";"=""Дата и время изменения""";"=""Пользователь""";
"=""Техпортал.Файл""";"=""10567""";"=""Руководство пользователя""";"=""-""";"=""Создание""";"=""-""";"=""-""";"=""06.05.2013 09:44:55""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Файл""";"=""10567""";"=""Руководство пользователя""";"=""Тип файла""";"=""Создание""";"=""-""";"=""zip""";"=""06.05.2013 09:44:55""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Файл""";"=""10567""";"=""Руководство пользователя""";"=""Mime тип файла""";"=""Создание""";"=""-""";"=""application/zip""";"=""06.05.2013 09:44:55""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Файл""";"=""10567""";"=""Руководство пользователя""";"=""Имя файла""";"=""Создание""";"=""-""";"=""Руководство пользователя""";"=""06.05.2013 09:44:55""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Файл""";"=""10567""";"=""Руководство пользователя""";"=""Номер""";"=""Создание""";"=""-""";"=""10567""";"=""06.05.2013 09:44:55""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Файл""";"=""10568""";"=""Руководство пользователя""";"=""-""";"=""Создание""";"=""-""";"=""-""";"=""06.05.2013 12:37:45""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Файл""";"=""10568""";"=""Руководство пользователя""";"=""Тип файла""";"=""Создание""";"=""-""";"=""doc""";"=""06.05.2013 12:37:45""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Файл""";"=""10568""";"=""Руководство пользователя""";"=""Mime тип файла""";"=""Создание""";"=""-""";"=""application/msword""";"=""06.05.2013 12:37:45""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Файл""";"=""10568""";"=""Руководство пользователя""";"=""Имя файла""";"=""Создание""";"=""-""";"=""Руководство пользователя""";"=""06.05.2013 12:37:45""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Файл""";"=""10568""";"=""Руководство пользователя""";"=""Номер""";"=""Создание""";"=""-""";"=""10568""";"=""06.05.2013 12:37:45""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:srvDatacat""";"=""Создание""";"=""""";"=""ZML""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:realUrl""";"=""Создание""";"=""""";"=""http://doverie.oepak22.org/smev-server/service1058/""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:regDate""";"=""Создание""";"=""""";"=""06.05.13""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:srvSid""";"=""Создание""";"=""""";"=""SID0005701""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:srvName""";"=""Создание""";"=""""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:srvWork""";"=""Создание""";"=""""";"=""ASY""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:srvPurpose""";"=""Создание""";"=""""";"=""Сервис предназначен для предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель, в электронном виде в рамках осуществления межведомственного информационного взаимодействия""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:operatorName""";"=""Создание""";"=""""";"=""1602""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:metodicVersion""";"=""Создание""";"=""""";"=""244""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:ownerISName""";"=""Создание""";"=""""";"=""160203""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:respPhone""";"=""Создание""";"=""""";"=""8 385 220 10 69""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:srvWorktime""";"=""Создание""";"=""""";"=""Стандартный режим: 8/252""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:vizPhone""";"=""Создание""";"=""""";"=""""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:vizEmail""";"=""Создание""";"=""""";"=""""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:srvTarget""";"=""Создание""";"=""""";"=""OIV""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:srvState""";"=""Создание""";"=""""";"=""PRD""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:vizpRole""";"=""Создание""";"=""""";"=""""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:srvRegion""";"=""Создание""";"=""""";"=""22""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
"=""Техпортал.Сервис""";"=""SID0005701:testSmevReg""";"=""Электронный сервис предоставления сведений о документе, подтверждающем принадлежность земельного участка к определенной категории земель""";"=""Паспорт:respEmail""";"=""Создание""";"=""""";"=""Fom@oepak22.ru,""";"=""06.05.2013 12:40:38""";"=""Бородин Дмитрий Юрьевич""";
